Year,NHGISST,NHGISCTY,STATENAM,NHGISNAM,ICPSRST,ICPSRCTY,area_base,NHGISST_1950,NHGISCTY_1950,STATENAM_1950,NHGISNAM_1950,ICPSRST_1950,ICPSRCTY_1950,area,weight,US_STATE
1940,190,1050,Iowa,Jones,31,1050,1494438461.3101513,190,1050,Iowa,Jones,31,1050,1494438461.3101532,1.0,1
1940,190,1390,Iowa,Muscatine,31,1390,1163239410.851051,190,1390,Iowa,Muscatine,31,1390,1163239410.851048,1.0,1
1940,190,1630,Iowa,Scott,31,1630,1212660242.5396717,190,1630,Iowa,Scott,31,1630,1212660242.5396705,1.0,1
1940,290,1670,Missouri,Polk,34,1670,1663926450.830176,290,1670,Missouri,Polk,34,1670,1663926450.8301754,1.0,1
1940,310,0270,Nebraska,Cedar,35,270,1931733819.7628322,310,0270,Nebraska,Cedar,35,270,1931733819.7628334,1.0,1
1940,460,0270,South Dakota,Clay,37,270,1080633686.892376,460,0270,South Dakota,Clay,37,270,1080633686.892375,1.0,1
1940,310,0510,Nebraska,Dixon,35,510,1250705823.0795963,310,0510,Nebraska,Dixon,35,510,1250705823.079597,1.0,1
1940,310,1790,Nebraska,Wayne,35,1790,1148226817.0367754,310,1790,Nebraska,Wayne,35,1790,1148226817.036775,1.0,1
1940,420,0870,Pennsylvania,Mifflin,14,870,1073917337.3524532,420,0870,Pennsylvania,Mifflin,14,870,1073917337.3524535,1.0,1
1940,420,1190,Pennsylvania,Union,14,1190,822184425.1316974,420,1190,Pennsylvania,Union,14,1190,822184425.1316965,1.0,1
1940,190,0810,Iowa,Hancock,31,810,1484160218.638815,190,0810,Iowa,Hancock,31,810,1484160218.6388116,1.0,1
1940,190,1310,Iowa,Mitchell,31,1310,1216165100.766592,190,1310,Iowa,Mitchell,31,1310,1216165100.766591,1.0,1
1940,190,1890,Iowa,Winnebago,31,1890,1040443752.7089099,190,1890,Iowa,Winnebago,31,1890,1040443752.7089106,1.0,1
